Date,No.,Description,Debit,Credit
08/03/22,,POS Debit - Visa Check Card 2076 - PAYPAL HOME DEPOT 402-935-77,30.55,
08/03/22,,POS Debit - Visa Check Card 2076 - PPINSTACART 402-935-7733 CA,10,
08/02/22,,POS Debit - Visa Check Card 2076 - PAYPAL UNIQLO USA 402-935-77,151.55,
08/02/22,,POS Debit - Visa Check Card 2076 - PAYPAL EVERLANE 402-935-7733,107.17,
08/02/22,,POS Debit - Visa Check Card 2076 - WALMARTCOM AA 800-966-6546 A,101.2,
08/02/22,,POS Debit - Visa Check Card 2076 - PPINSTACART 402-935-7733 CA,69.69,
08/02/22,,POS Debit - Visa Check Card 2076 - PAYPAL UBER EATS 402-935-773,18.8,
08/02/22,,POS Debit - Visa Check Card 2076 - WALMARTCOM AA 800-966-6546 A,16.74,
08/02/22,,POS Debit - Visa Check Card 2076 - PAYPAL HOME DEPOT 402-935-77,16.58,
08/02/22,,POS Debit - Visa Check Card 2076 - PAYPAL HOME DEPOT 402-935-77,16.21,
08/02/22,,POS Debit - Visa Check Card 2076 - PAYPAL UBER EATS 402-935-773,7,
08/02/22,,POS Debit - Visa Check Card 2076 - PPINSTACART 402-935-7733 CA,5,
08/01/22,,ACH Transaction - Lux on Main WEB PMTS 0002100002,1444,
08/01/22,,POS Debit - Visa Check Card 2076 - PAYPAL BESTBUY CO 402-935-77,172.6,
08/01/22,,POS Debit - Visa Check Card 2076 - SPECTRUM 855-707-7328 MO,55.28,
08/01/22,,POS Debit - Visa Check Card 2076 - PAYPAL RELIANTENE 186-622-27,47.15,
08/01/22,,POS Debit - Visa Check Card 2076 - PAYPAL BESTBUY CO 402-935-77,37.69,
08/01/22,,POS Debit - Visa Check Card 2076 - CHIPOTLE ONLINE 180-024-4768,33,
08/01/22,,POS Debit - Visa Check Card 2076 - PAYPAL HOME DEPOT 402-935-77,14.06,
08/01/22,,POS Debit - Visa Check Card 2076 - PAYPAL HOME DEPOT 402-935-77,8.63,
08/01/22,,Transfer from Shares,,600
07/29/22,,Dividend,,0.03
07/29/22,,Federal Tax Withholding,0.01,
07/29/22,,Transfer to Shares,2000,
07/29/22,,Transfer from Shares,,388
07/28/22,,Deposit - TRIZETTO CORPORA,,8442
07/28/22,,Deposit - TRIZETTO CORPORA,,2400.26
07/25/22,,ACH Transaction - STILLWATER INS INS PREM 0008400002,11.94,
07/22/22,,POS Debit - Visa Check Card 2076 - PAYPAL TICKETMAST 402-935-77,49.08,
07/22/22,,POS Debit - Visa Check Card 2076 - PAYPAL UBER EATS 402-935-773,24.38,
07/22/22,,POS Debit - Visa Check Card 2076 - PAYPAL UBER EATS 402-935-773,4.32,
07/20/22,,POS Debit - Visa Check Card 2076 - WALMARTCOM AA 800-966-6546 A,211.3,
07/20/22,,POS Debit - Visa Check Card 2076 - WALMARTCOM AA 800-966-6546 A,110.39,
07/18/22,,ACH Transaction - PLANET FIT CLUB FEES 0006200001,22.99,
07/18/22,,POS Debit - Visa Check Card 2076 - PAYPAL LAXUNLIMIT 631-582-25,92,
07/18/22,,POS Debit - Visa Check Card 2076 - PPINSTACART 402-935-7733 CA,88.65,
07/18/22,,POS Debit - Visa Check Card 2076 - CHIPOTLE ONLINE 180-024-4768,30,
07/18/22,,POS Debit - Visa Check Card 2076 - PAYPAL UBER EATS 402-935-773,29.22,
07/18/22,,POS Debit - Visa Check Card 2076 - PAYPAL UBER EATS 402-935-773,6.52,
07/18/22,,POS Debit - Visa Check Card 2076 - PPINSTACART 402-935-7733 CA,2,
07/15/22,,Transfer to Shares,2000,
07/14/22,,Deposit - TRIZETTO CORPORA,,3525.35
07/13/22,,POS Debit - Visa Check Card 2076 - THE UPS STORE 6580 214-226814,7.8,
07/12/22,,POS Adjustment - Cash AppCash Out Visa Direct CAUS,,100
07/11/22,,POS Debit - Visa Check Card 2076 - CHIPOTLE ONLINE 180-024-4768,24,
07/07/22,,POS Debit - Visa Check Card 2076 - SPOTIFY 877-778-1161 NY,10.59,
07/05/22,,POS Debit - Visa Check Card 2076 - PPINSTACART 402-935-7733 CA,80.38,
07/05/22,,POS Debit - Visa Check Card 2076 - SPECTRUM 855-707-7328 MO,77.03,
07/05/22,,POS Debit - Visa Check Card 2076 - PPINSTACART 402-935-7733 CA,47.53,
07/05/22,,POS Debit - Visa Check Card 2076 - PPINSTACART 402-935-7733 CA,1,
07/01/22,,ACH Transaction - Lux on Main WEB PMTS 0002100002,1395.86,
07/01/22,,Transfer from Shares,,50
06/30/22,,Dividend,,0.04
06/30/22,,Federal Tax Withholding,0.01,
06/30/22,,POS Debit - Visa Check Card 2076 - PPINSTACART 402-935-7733 CA,99.87,
06/29/22,,POS Debit - Visa Check Card 2076 - CHIPOTLE ONLINE 180-024-4768,23.79,
06/28/22,,ACH Transaction - Lux on Main WEB PMTS 0002100002,100,
06/28/22,,POS Debit - Visa Check Card 2076 - PPINSTACART 402-935-7733 CA,46.81,
06/28/22,,POS Debit - Visa Check Card 2076 - PPINSTACART 402-935-7733 CA,30.73,
06/27/22,,POS Debit - Visa Check Card 2076 - RPSLUX ON MAIN RD 800-704-01,297.44,
06/27/22,,POS Debit - Visa Check Card 2076 - WM SUPERC Wal-Mart Sup CARROL,74.88,
06/27/22,,POS Debit - Visa Check Card 2076 - PAYPAL THEVITAMIN 402-935-77,70.19,
06/27/22,,POS Debit - Visa Check Card 2076 - CHIPOTLE ONLINE 180-024-4768,21.21,
06/27/22,,POS Debit - Visa Check Card 2076 - POD 5 CIBO EXPRESS SAINT PAUL,4.66,
06/27/22,,POS Debit - Visa Check Card 2076 - POD 5 CIBO EXPRESS SAINT PAUL,4.46,
